"","Brand_Description","Price","Review_Count","Rating"
"11"," Dell PowerEdge R630 Server 2X E5-2640v3 2.60Ghz 16-Core 64GB 8X 300GB H730 (Renewed)  2.9 out of 5 stars 6  $324.70$324.70FREE delivery Jan 29 - 30 Or fastest delivery Fri, Jan 26 Only 9 left in stock - order soon.More Buying Choices$234.35(5 used & new offers)","324.","6","2.9 out of 5 stars"
"12"," HP Z440 Tower Server - Intel Xeon E5-2620 V3 2.4GHz 6 Core - 64GB DDR4 RAM - LSI 9217 4i4e SAS SATA Raid Card - New 1TB SSD Samsung - NVS 310 512MB - 525W PSU - Windows 10 PRO (Renewed)  4.2 out of 5 stars 11  $379.99$379.99 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 Only 9 left in stock - order soon.Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Pre-owned Certified: Electronics","379.","11","4.2 out of 5 stars"
"13"," HP DL380 G9 Server / 2X E5-2670 V3 2.3GHz = 24 Cores / 128GB RAM / P840 / 12x 3TB SAS (Renewed)  4.2 out of 5 stars 21  $739.00$739.00 FREE delivery Mon, Jan 29 Only 8 left in stock - order soon.Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Pre-owned Certified: Electronics","739.","21","4.2 out of 5 stars"
"14"," HpeMicroServer Gen10 Plus iLO Enablement Kit  4.7 out of 5 stars 108  $35.99$35.99 Typical: $37.99$37.99 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 Only 6 left in stock (more on the way).More Buying Choices$32.99(19 new offers)","35.","108","4.7 out of 5 stars"
"15"," Dell PowerEdge T320 Tower Server | 1X E5-2450 8 Cores | 32GB | H310 | 8TB Storage (Renewed)  3.8 out of 5 stars 8  $494.01$494.01 Typical price: $520.00$520.00FREE delivery Jan 29 - 31 Or fastest delivery Tomorrow, Jan 25 Only 9 left in stock - order soon.","494.","8","3.8 out of 5 stars"
"16"," BestPartsNew 1U Rack Sliding Ready Rail Kit Compatible with HP ProLiant DL360 Gen 8 Gen 9 Gen 10 DL360p Gen 8 Gen 9 Gen 10 DL360e Gen 8 Gen 9 Gen 10 SFF Server in Box  5.0 out of 5 stars 1  $118.99$118.99 FREE delivery Mon, Jan 29 Only 13 left in stock - order soon.Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ","118.","1","5.0 out of 5 stars"
"17"," BestPartsNew 2U Sliding Rail Kit Compatible with HP ProLiant DL380 G9 G10 / DL380p G8 / DL388 G9 G10 Server in Box  5.0 out of 5 stars 4  $105.99$105.99 FREE delivery Tue, Jan 30 Or fastest delivery Fri, Jan 26 Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ","105.","4","5.0 out of 5 stars"
"18"," HP High-End Virtualization Server 36-Core 768GB RAM 16TB DL360 G9 (Renewed)  Options:5 sizes4.3 out of 5 stars 30  $1,075.00$1,075.00 FREE delivery Mon, Jan 29 Only 10 left in stock - order soon.Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Pre-owned Certified: Electronics","1,075.","30","4.3 out of 5 stars"
"19"," Dell PowerEdge R630 Server 2X E5-2640v3 2.60Ghz 16-Core 64GB H330 (Renewed)  4.0 out of 5 stars 10  $280.30$280.30 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 Only 15 left in stock - order soon.Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Pre-owned Certified: Electronics","280.","10","4.0 out of 5 stars"
"20"," Hewlett Packard EnterpriseHPE ProLiant ML110 G10 4.5U Tower Server - 1 x Intel Xeon Silver 4208 2.10 GHz - 16 GB RAM - Serial ATA/600 Controller  $1,247.00$1,247.00FREE delivery Wed, Jan 31 Or fastest delivery Jan 26 - 29 ","1,247.","",""
"21"," Dell PowerEdge R730XD Server | 2X E5-2680 V3 2.50GHz = 24 Cores | 256GB | H730 | 24x 600GB 10K SAS (Renewed)  3.9 out of 5 stars 5  $830.02$830.02 Typical price: $899.00$899.00FREE delivery Jan 31 - Feb 2 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Pre-owned Certified: Electronics","830.","5","3.9 out of 5 stars"
"22"," SFF Rails Rack Mount Rail kit 7 for HP ProLiant DL180 DL380 G9 Gen9 729870-002 Readrail Express  $90.00$90.00 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 ","90.","",""
"23"," MicrosoftWindows Server 2022 Standard | Base License with media and key | 16 Core  3.0 out of 5 stars 2  $832.77$832.77 List: $954.99$954.99FREE delivery Jan 29 - 31 ","832.","2","3.0 out of 5 stars"
"24"," HP Rail KIT - Rack rail kit - 1U - for ProLiant DL360p Gen8 (Renewed)  3.8 out of 5 stars 49  $69.00$69.00 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 ","69.","49","3.8 out of 5 stars"
